what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.ide,3.4.1.M20080903-2000,org.eclipse.ui.views.ProblemView,1231550075083
activated,editor,org.eclipse.wst.xml.ui,1.0.410.v200809120143,org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart,1231550075362
activated,view,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.PackageExplorer,1231550083044
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1231550085056
started,bundle,org.eclipse.ui.externaltools,3.2.0.v20080514-1542,org.eclipse.ui.externaltools,1231550090604
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.properties,1231550113783
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1231550113811
activated,editor,org.eclipse.wst.xml.ui,1.0.410.v200809120143,org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart,1231550117674
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.copy,1231550121113
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1231550122676
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1231550213277
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1231550217832
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1231550220211
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1231550224926
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1231550228668
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1231550235447
activated,view,org.eclipse.ui.ide,3.4.1.M20080903-2000,org.eclipse.ui.views.ProblemView,1231550247416
activated,editor,org.eclipse.wst.xml.ui,1.0.410.v200809120143,org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart,1231550252331
executed,command,org.eclipse.ui.ide,3.4.1.M20080903-2000,org.eclipse.ui.navigate.goToResource,1231550252332
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.delete,1231550256833
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.delete,1231550256995
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1231550259065
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1231550399817
executed,command,org.eclipse.ui.ide,3.4.1.M20080903-2000,org.eclipse.ui.project.cleanAction,1231550400748
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1231550400833
