what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.eclipse.datatools.sqltools.ddlgen.ui,1.0.0.v200808140615,org.eclipse.datatools.sqltools.ddlgen.ui,1231550919038
stopped,bundle,org.eclipse.datatools.sqltools.sqlbuilder,1.0.0.v200808271350,org.eclipse.datatools.sqltools.sqlbuilder,1231550919039
stopped,bundle,org.eclipse.datatools.sqltools.sqlscrapbook,1.0.0.v200808271350,org.eclipse.datatools.sqltools.sqlscrapbook,1231550919048
stopped,bundle,org.eclipse.datatools.sqltools.sqleditor,1.0.0.v200808271350,org.eclipse.datatools.sqltools.sqleditor,1231550919049
stopped,bundle,org.eclipse.wst.server.preview.adapter,1.0.101.v20080730,org.eclipse.wst.server.preview.adapter,1231550919049
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1231550940748
activated,view,org.tigris.subversion.subclipse.ui,1.4.7,org.tigris.subversion.subclipse.ui.repository.RepositoriesView,1231550942539
started,bundle,org.tigris.subversion.clientadapter.javahl,1.5.5,org.tigris.subversion.clientadapter.javahl,1231550942597
started,bundle,org.tigris.subversion.clientadapter.svnkit,1.5.4,org.tigris.subversion.clientadapter.svnkit,1231550942602
started,bundle,org.tmatesoft.svnkit,1.2.1.5297,org.tmatesoft.svnkit,1231550942632
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1231550970120
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1231550970862
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1231550971061
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1231550991356
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1231551002849
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1231551013531
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1231551022874
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1231551023619
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1231551023788
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1231551063100
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1231551070520
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1231551070883
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1231551071154
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1231551138758
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1231551144721
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1231551147565
closed,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1231551149262
stopped,bundle,org.eclipse.jst.j2ee.xdoclet.runtime,1.1.102.v200805140135,org.eclipse.jst.j2ee.xdoclet.runtime,1231551149810
stopped,bundle,org.eclipse.jst.j2ee.ejb.annotations.xdoclet,1.2.0.v200805140020,org.eclipse.jst.j2ee.ejb.annotations.xdoclet,1231551149811
stopped,bundle,org.eclipse.jst.server.generic.jboss,1.5.205.v200805140145,org.eclipse.jst.server.generic.jboss,1231551149811
