what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.eclipse.jst.jsf.ui,1.1.101.v20080909,org.eclipse.jst.jsf.ui,1231551149838
stopped,bundle,org.eclipse.jst.pagedesigner.jsf.ui,1.1.0.v20080605,org.eclipse.jst.pagedesigner.jsf.ui,1231551149838
stopped,bundle,org.eclipse.jst.pagedesigner,1.1.0.v20080605,org.eclipse.jst.pagedesigner,1231551149839
stopped,bundle,org.eclipse.jst.jsf.common.ui,1.1.0.v20080605,org.eclipse.jst.jsf.common.ui,1231551149851
stopped,bundle,org.eclipse.jst.jsf.core,1.1.102.v20080909,org.eclipse.jst.jsf.core,1231551149851
stopped,bundle,org.eclipse.jst.jsf.standard.tagsupport,1.1.101.v20080828,org.eclipse.jst.jsf.standard.tagsupport,1231551149852
stopped,bundle,org.eclipse.jst.pagedesigner.jsp.core,1.1.0.v20080605,org.eclipse.jst.pagedesigner.jsp.core,1231551149852
stopped,bundle,org.eclipse.jst.jsf.common,1.1.3.v20080915,org.eclipse.jst.jsf.common,1231551149852
stopped,bundle,org.eclipse.wst.jsdt.web.support.jsp,1.0.1.v200807241900,org.eclipse.wst.jsdt.web.support.jsp,1231551149852
stopped,bundle,org.eclipse.jst.jsp.ui,1.1.310.v200809120122,org.eclipse.jst.jsp.ui,1231551149853
stopped,bundle,org.eclipse.jst.ws.axis2.ui,1.0.202.v200806190413,org.eclipse.jst.ws.axis2.ui,1231551149854
stopped,bundle,org.eclipse.jst.ws.uddiregistry,1.0.300.v200805140230,org.eclipse.jst.ws.uddiregistry,1231551149854
stopped,bundle,org.eclipse.jst.ws.ui,1.0.303.v200808070608,org.eclipse.jst.ws.ui,1231551149855
stopped,bundle,org.tigris.subversion.subclipse.graph,1.0.3,org.tigris.subversion.subclipse.graph,1231551149855
stopped,bundle,org.tigris.subversion.subclipse.mylyn,3.0.0,org.tigris.subversion.subclipse.mylyn,1231551149855
stopped,bundle,org.tigris.subversion.subclipse.ui,1.4.7,org.tigris.subversion.subclipse.ui,1231551149855
stopped,bundle,org.eclipseguru.gwt.core,1.5.5.200809301127,org.eclipseguru.gwt.core,1231551149855
stopped,bundle,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui,1231551149870
stopped,bundle,org.eclipse.mylyn.bugzilla.ui,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.bugzilla.ui,1231551149870
stopped,bundle,org.eclipse.mylyn.ide.ui,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.ide.ui,1231551149870
stopped,bundle,org.eclipse.mylyn.team.ui,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.team.ui,1231551149870
stopped,bundle,org.eclipse.mylyn.resources.ui,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.resources.ui,1231551149871
stopped,bundle,org.eclipse.mylyn.context.ui,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.context.ui,1231551149871
stopped,bundle,org.eclipse.mylyn.help.ui,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.help.ui,1231551149871
stopped,bundle,org.eclipse.mylyn.tasks.bugs,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.tasks.bugs,1231551149872
