what,kind,bundleId,bundleVersion,description,time
activated,perspective,org.tigris.subversion.subclipse.ui,1.4.7,org.tigris.subversion.subclipse.ui.svnPerspective,1231550690859
activated,editor,org.eclipse.jst.jsp.ui,1.1.310.v200809120122,org.eclipse.jst.jsp.core.jspsource.source,1231550690916
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.perspectives.showPerspective,1231550690931
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.perspectives.showPerspective,1231550690931
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1231550690947
activated,view,org.tigris.subversion.subclipse.ui,1.4.7,org.tigris.subversion.subclipse.ui.repository.RepositoriesView,1231550692482
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1231550693633
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1231550905506
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1231550907030
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1231550909079
started,bundle,org.eclipse.mylyn.ide.ant,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.ide.ant,1231550917968
started,bundle,org.eclipse.mylyn.java.ui,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.java.ui,1231550917980
started,bundle,org.eclipse.mylyn.pde.ui,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.pde.ui,1231550918062
started,bundle,org.eclipse.mylyn.resources.ui,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.resources.ui,1231550918067
closed,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1231550918273
stopped,bundle,org.eclipse.jst.j2ee.xdoclet.runtime,1.1.102.v200805140135,org.eclipse.jst.j2ee.xdoclet.runtime,1231550918833
stopped,bundle,org.eclipse.jst.j2ee.ejb.annotations.xdoclet,1.2.0.v200805140020,org.eclipse.jst.j2ee.ejb.annotations.xdoclet,1231550918834
stopped,bundle,org.eclipse.jst.server.generic.jboss,1.5.205.v200805140145,org.eclipse.jst.server.generic.jboss,1231550918842
stopped,bundle,org.eclipse.jst.server.generic.jonas,1.5.205.v200805140145,org.eclipse.jst.server.generic.jonas,1231550918864
stopped,bundle,org.eclipse.jst.server.generic.oc4j,1.5.205.v200805140145,org.eclipse.jst.server.generic.oc4j,1231550918884
stopped,bundle,org.eclipse.jst.server.websphere.core,1.0.302.v20080620,org.eclipse.jst.server.websphere.core,1231550918888
stopped,bundle,org.eclipse.jst.server.generic.resin,1.1.2.200809292109,org.eclipse.jst.server.generic.resin,1231550918889
stopped,bundle,org.eclipse.jst.server.generic.ui,1.0.305.v200805140145,org.eclipse.jst.server.generic.ui,1231550918889
stopped,bundle,org.eclipse.jst.server.generic.core,1.0.305.v200805140145,org.eclipse.jst.server.generic.core,1231550918889
stopped,bundle,org.eclipse.mylyn.ide.ant,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.ide.ant,1231550918890
